POSTNUMMER,OFFICE NAME,DEP NAME,FIRMA_ID,OFFICE_id
3073,Drammen,Meglerhuset,8,11
3074,Drammen,Meglerhuset,8,11
3072,Drammen,Meglerhuset,8,11
3427,Drammen,Meglerhuset,8,11
3031,Drammen,Meglerhuset,8,11
,,,,
2070,Gjøvik,Eiendomsmegling,4,6
2072,Gjøvik,Eiendomsmegling,4,6
2073,Gjøvik,Eiendomsmegling,4,6
2074,Gjøvik,Eiendomsmegling,4,6
2080,Gjøvik,Eiendomsmegling,4,6
2092,Gjøvik,Eiendomsmegling,4,6
2093,Gjøvik,Eiendomsmegling,4,6
2815,Gjøvik,Eiendomsmegling,4,6
2816,Gjøvik,Eiendomsmegling,4,6
2817,Gjøvik,Eiendomsmegling,4,6
2818,Gjøvik,Eiendomsmegling,4,6
2819,Gjøvik,Eiendomsmegling,4,6
2820,Gjøvik,Eiendomsmegling,4,6
2821,Gjøvik,Eiendomsmegling,4,6
2822,Gjøvik,Eiendomsmegling,4,6
2825,Gjøvik,Eiendomsmegling,4,6
2827,Gjøvik,Eiendomsmegling,4,6
2830,Gjøvik,Eiendomsmegling,4,6
2833,Gjøvik,Eiendomsmegling,4,6
2834,Gjøvik,Eiendomsmegling,4,6
2835,Gjøvik,Eiendomsmegling,4,6
2836,Gjøvik,Eiendomsmegling,4,6
2837,Gjøvik,Eiendomsmegling,4,6
2838,Gjøvik,Eiendomsmegling,4,6
2839,Gjøvik,Eiendomsmegling,4,6
2840,Gjøvik,Eiendomsmegling,4,6
2843,Gjøvik,Eiendomsmegling,4,6
2846,Gjøvik,Eiendomsmegling,4,6
2847,Gjøvik,Eiendomsmegling,4,6
2848,Gjøvik,Eiendomsmegling,4,6
2849,Gjøvik,Eiendomsmegling,4,6
2850,Gjøvik,Eiendomsmegling,4,6
2860,Gjøvik,Eiendomsmegling,4,6
2861,Gjøvik,Eiendomsmegling,4,6
2862,Gjøvik,Eiendomsmegling,4,6
2864,Gjøvik,Eiendomsmegling,4,6
2866,Gjøvik,Eiendomsmegling,4,6
2870,Gjøvik,Eiendomsmegling,4,6
2879,Gjøvik,Eiendomsmegling,4,6
2880,Gjøvik,Eiendomsmegling,4,6
2881,Gjøvik,Eiendomsmegling,4,6
2890,Gjøvik,Eiendomsmegling,4,6
,,,,
1807,Askim,Sydvendt,3000045,3000072
1808,Askim,Sydvendt,3000045,3000072
1809,Askim,Sydvendt,3000045,3000072
1811,Askim,Sydvendt,3000045,3000072
1812,Askim,Sydvendt,3000045,3000072
1813,Askim,Sydvendt,3000045,3000072
1814,Askim,Sydvendt,3000045,3000072
1815,Askim,Sydvendt,3000045,3000072
1816,Askim,Sydvendt,3000045,3000072
1820,Askim,Sydvendt,3000045,3000072
1823,Askim,Sydvendt,3000045,3000072
1825,Askim,Sydvendt,3000045,3000072
1830,Askim,Sydvendt,3000045,3000072
1831,Askim,Sydvendt,3000045,3000072
1832,Askim,Sydvendt,3000045,3000072
1850,Askim,Sydvendt,3000045,3000072
1859,Askim,Sydvendt,3000045,3000072
1860,Askim,Sydvendt,3000045,3000072
1866,Askim,Sydvendt,3000045,3000072
1870,Askim,Sydvendt,3000045,3000072
1875,Askim,Sydvendt,3000045,3000072
1878,Askim,Sydvendt,3000045,3000072
1880,Askim,Sydvendt,3000045,3000072
1912,Askim,Sydvendt,3000045,3000072
